[17:44:01] UDP debugger initialized OK
[17:44:01] Initialized telemetry.
[17:44:02] Initialized sensor.
[17:44:02] Initialized chute pin.
[17:44:02] Entering program loop.
[17:44:02] Sent heartbeat (0)
[17:44:03] Sent heartbeat (0)
[17:44:04] Sent heartbeat (0)
[17:44:05] Sent heartbeat (0)
[17:44:06] Sent heartbeat (0)
[17:44:07] Sent heartbeat (0)
[17:44:08] Sent heartbeat (0)
[17:44:09] Sent heartbeat (0)
[17:44:10] Sent heartbeat (0)
[17:44:11] Sent heartbeat (0)
[17:44:12] Sent heartbeat (0)
[17:44:13] Sent heartbeat (0)
[17:44:14] Sent heartbeat (0)
[17:44:15] Sent heartbeat (0)
[17:44:16] Sent heartbeat (0)
[17:44:17] Sent heartbeat (0)
[17:44:18] Sent heartbeat (0)
[17:44:19] Sent heartbeat (0)
[17:44:20] Sent heartbeat (0)
[17:44:21] Sent heartbeat (0)
[17:44:22] Sent heartbeat (0)
[17:44:23] Sent heartbeat (0)
[17:44:24] Sent heartbeat (0)
[17:44:25] Sent heartbeat (0)
[17:44:26] Sent heartbeat (0)
[17:44:27] Sent heartbeat (0)
[17:44:28] Sent heartbeat (0)
[17:44:29] Sent heartbeat (0)
[17:44:30] Sent heartbeat (0)
[17:44:31] Sent heartbeat (0)
[17:44:32] Sent heartbeat (0)
[17:44:33] Sent heartbeat (0)
[17:44:34] Sent heartbeat (0)
[17:44:35] Sent heartbeat (0)
[17:44:36] Sent heartbeat (0)
[17:44:37] Sent heartbeat (0)
[17:44:38] Sent heartbeat (0)
[17:44:39] Sent heartbeat (0)
[17:44:40] Sent heartbeat (0)
[17:44:41] Sent heartbeat (0)
[17:44:42] Sent heartbeat (0)
[17:44:43] Sent heartbeat (0)
[17:44:44] Sent heartbeat (0)
[17:44:45] Sent heartbeat (0)
[17:44:46] Sent heartbeat (0)
[17:44:47] Sent heartbeat (0)
[17:44:48] Sent heartbeat (0)
[17:44:49] Sent heartbeat (0)
[17:44:50] Sent heartbeat (0)
[17:44:51] Sent heartbeat (0)
[17:44:52] Sent heartbeat (0)
[17:44:53] Sent heartbeat (0)
[17:44:54] Sent heartbeat (0)
[17:44:55] Sent heartbeat (0)
[17:44:56] Sent heartbeat (0)
[17:44:57] Sent heartbeat (0)
[17:44:58] Sent heartbeat (0)
[17:44:59] Sent heartbeat (0)
[17:45:00] Sent heartbeat (0)
[17:45:01] Sent heartbeat (0)
[17:45:02] Sent heartbeat (0)
[17:45:03] Sent heartbeat (0)
[17:45:04] Sent heartbeat (0)
[17:45:05] Sent heartbeat (0)
[17:45:06] Sent heartbeat (0)
[17:45:07] Sent heartbeat (0)
[17:45:08] Sent heartbeat (0)
[17:45:09] Sent heartbeat (0)
[17:45:10] Sent heartbeat (0)
[17:45:11] Sent heartbeat (0)
[17:45:12] Sent heartbeat (0)
