[21:38:38] Initialized telemetry.
[21:38:39] Initialized sensor.
[21:38:39] Initialized chute pin.
[21:38:39] Entering program loop.
[21:38:39] Sent heartbeat (0)
[21:38:40] Sent heartbeat (0)
[21:38:41] Sent heartbeat (0)
[21:38:42] Sent heartbeat (0)
[21:38:43] Sent heartbeat (0)
[21:38:44] Sent heartbeat (0)
[21:38:45] Sent heartbeat (0)
[21:38:46] Sent heartbeat (0)
[21:38:47] Sent heartbeat (0)
[21:38:48] Sent heartbeat (0)
[21:38:49] Sent heartbeat (0)
[21:38:50] Sent heartbeat (0)
[21:38:51] Sent heartbeat (0)
[21:38:52] Sent heartbeat (0)
[21:38:53] Sent heartbeat (0)
[21:38:54] Sent heartbeat (0)
[21:38:55] Sent heartbeat (0)
[21:38:56] Sent heartbeat (0)
[21:38:57] Sent heartbeat (0)
[21:38:58] Sent heartbeat (0)
[21:38:59] Sent heartbeat (0)
[21:39:00] Sent heartbeat (0)
[21:39:01] Sent heartbeat (0)
[21:39:02] Sent heartbeat (0)
[21:39:03] Sent heartbeat (0)
[21:39:04] Sent heartbeat (0)
[21:39:05] Sent heartbeat (0)
[21:39:06] Sent heartbeat (0)
[21:39:07] Sent heartbeat (0)
[21:39:08] Sent heartbeat (0)
[21:39:09] Sent heartbeat (0)
[21:39:10] Sent heartbeat (0)
[21:39:11] Sent heartbeat (0)
[21:39:12] Sent heartbeat (0)
[21:39:13] Sent heartbeat (0)
[21:39:14] Sent heartbeat (0)
[21:39:15] Sent heartbeat (0)
[21:39:16] Sent heartbeat (0)
[21:39:17] Sent heartbeat (0)
[21:39:18] Sent heartbeat (0)
[21:39:19] Sent heartbeat (0)
[21:39:20] Sent heartbeat (0)
[21:39:21] Sent heartbeat (0)
[21:39:22] Sent heartbeat (0)
[21:39:23] Sent heartbeat (0)
[21:39:24] Sent heartbeat (0)
[21:39:25] Sent heartbeat (0)
[21:39:26] Sent heartbeat (0)
[21:39:27] Sent heartbeat (0)
[21:39:28] Sent heartbeat (0)
[21:39:29] Sent heartbeat (0)
[21:39:30] Sent heartbeat (0)
[21:39:31] Sent heartbeat (0)
[21:39:32] Sent heartbeat (0)
[21:39:33] Sent heartbeat (0)
[21:39:34] Sent heartbeat (0)
[21:39:35] Sent heartbeat (0)
[21:39:36] Sent heartbeat (0)
[21:39:37] Sent heartbeat (0)
[21:39:38] Sent heartbeat (0)
[21:39:39] Sent heartbeat (0)
[21:39:40] Sent heartbeat (0)
[21:39:41] Sent heartbeat (0)
[21:39:42] Sent heartbeat (0)
[21:39:43] Sent heartbeat (0)
[21:39:44] Sent heartbeat (0)
[21:39:45] Sent heartbeat (0)
[21:39:46] Sent heartbeat (0)
[21:39:47] Sent heartbeat (0)
[21:39:48] Sent heartbeat (0)
[21:39:49] Sent heartbeat (0)
[21:39:50] Sent heartbeat (0)
[21:39:51] Sent heartbeat (0)
[21:39:52] Sent heartbeat (0)
[21:39:53] Sent heartbeat (0)
[21:39:54] Sent heartbeat (0)
